PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-01-21T02:00:00Z,2019-01-21T01:00:00Z,PT60M,26.5,-132,25.0,20.9,306,274,165,471,48.0,71.2,0.0,998.1,47,7.1,52
2019-01-21T03:00:00Z,2019-01-21T02:00:00Z,PT60M,27.4,-146,22.4,20.7,362,332,245,607,48.4,67.2,0.0,997.9,48,7.6,42
2019-01-21T04:00:00Z,2019-01-21T03:00:00Z,PT60M,27.8,-166,32.7,20.7,438,179,144,583,49.1,65.4,0.0,997.5,49,7.8,36
2019-01-21T05:00:00Z,2019-01-21T04:00:00Z,PT60M,28.0,170,43.9,20.9,423,84,69,492,49.8,65.4,0.0,996.7,50,7.7,36
2019-01-21T06:00:00Z,2019-01-21T05:00:00Z,PT60M,28.1,149,41.9,21.0,405,84,63,468,50.6,65.5,0.0,995.9,51,7.6,41
2019-01-21T07:00:00Z,2019-01-21T06:00:00Z,PT60M,27.8,134,39.5,21.1,335,110,73,408,51.2,66.9,0.0,995.5,51,7.4,50
2019-01-21T08:00:00Z,2019-01-21T07:00:00Z,PT60M,27.3,124,23.2,21.2,188,368,170,358,51.7,69.6,0.0,995.5,51,6.9,61
2019-01-21T09:00:00Z,2019-01-21T08:00:00Z,PT60M,26.7,117,15.7,21.3,118,321,90,208,52.2,72.4,0.0,995.5,50,6.5,74
2019-01-21T10:00:00Z,2019-01-21T09:00:00Z,PT60M,26.4,112,48.3,21.6,25,45,8,33,51.7,74.5,0.0,995.8,50,5.9,87
2019-01-21T11:00:00Z,2019-01-21T10:00:00Z,PT60M,26.4,108,58.9,21.9,0,0,0,0,50.4,76.0,0.0,996.3,49,5.3,101
2019-01-21T12:00:00Z,2019-01-21T11:00:00Z,PT60M,26.4,106,56.0,22.2,0,0,0,0,49.1,77.5,0.0,996.9,49,4.6,114
2019-01-21T13:00:00Z,2019-01-21T12:00:00Z,PT60M,26.1,104,66.9,22.2,0,0,0,0,47.7,79.2,0.0,997.3,49,4.3,128
2019-01-21T14:00:00Z,2019-01-21T13:00:00Z,PT60M,25.4,104,67.0,22.0,0,0,0,0,46.4,81.3,0.0,997.4,49,4.4,142
2019-01-21T15:00:00Z,2019-01-21T14:00:00Z,PT60M,24.8,107,63.8,21.8,0,0,0,0,45.0,83.4,0.0,997.5,49,4.4,156
2019-01-21T16:00:00Z,2019-01-21T15:00:00Z,PT60M,24.4,129,52.5,21.7,0,0,0,0,43.8,85.0,0.0,997.4,48,4.4,169
2019-01-21T17:00:00Z,2019-01-21T16:00:00Z,PT60M,24.1,-142,52.7,21.6,0,0,0,0,42.9,86.1,0.0,997.2,47,4.4,171
2019-01-21T18:00:00Z,2019-01-21T17:00:00Z,PT60M,23.8,-109,50.7,21.6,0,0,0,0,41.9,87.3,0.0,996.9,45,4.4,159
2019-01-21T19:00:00Z,2019-01-21T18:00:00Z,PT60M,23.6,-104,32.7,21.5,0,0,0,0,41.4,88.1,0.0,996.7,44,4.3,145
2019-01-21T20:00:00Z,2019-01-21T19:00:00Z,PT60M,23.4,-104,32.3,21.4,0,0,0,0,41.3,88.6,0.0,996.6,43,4.2,131
2019-01-21T21:00:00Z,2019-01-21T20:00:00Z,PT60M,23.2,-105,52.0,21.3,0,0,0,0,41.1,89.1,0.0,996.5,42,4.2,117
2019-01-21T22:00:00Z,2019-01-21T21:00:00Z,PT60M,23.4,-108,53.1,21.3,0,0,0,0,40.6,87.8,0.0,996.7,41,4.3,103
2019-01-21T23:00:00Z,2019-01-21T22:00:00Z,PT60M,24.1,-111,60.6,21.4,12,6,1,13,39.5,84.9,0.0,997.2,42,4.7,90
2019-01-22T00:00:00Z,2019-01-21T23:00:00Z,PT60M,24.8,-116,28.2,21.5,104,146,42,146,38.5,82.0,0.0,997.7,43,5.1,76
2019-01-22T01:00:00Z,2019-01-22T00:00:00Z,PT60M,25.5,-122,5.9,21.6,135,589,272,407,38.3,79.0,0.0,998.0,43,5.5,64
2019-01-22T02:00:00Z,2019-01-22T01:00:00Z,PT60M,26.1,-131,1.6,21.6,139,789,486,625,38.7,75.9,0.0,998.0,42,6.2,52
2019-01-22T03:00:00Z,2019-01-22T02:00:00Z,PT60M,26.8,-145,26.4,21.6,308,371,266,574,39.2,72.9,0.0,998.0,42,6.8,42
2019-01-22T04:00:00Z,2019-01-22T03:00:00Z,PT60M,27.1,-166,18.1,21.7,321,488,398,719,39.6,72.4,0.0,997.7,42,7.0,36
2019-01-22T05:00:00Z,2019-01-22T04:00:00Z,PT60M,27.0,170,23.2,22.0,374,375,307,680,39.8,74.2,0.0,997.1,43,6.6,35
2019-01-22T06:00:00Z,2019-01-22T05:00:00Z,PT60M,26.8,149,13.0,22.2,263,594,446,709,40.1,76.0,0.0,996.5,44,6.3,41
