timestamp,dhi,temp,dayofweek
datetime,int,int,int
T,,,
2019-01-21T02:00:00Z,306,26.5,1
2019-01-21T03:00:00Z,362,27.4,1
2019-01-21T04:00:00Z,438,27.8,1
2019-01-21T05:00:00Z,423,28,1
2019-01-21T06:00:00Z,405,28.1,1
2019-01-21T07:00:00Z,335,27.8,1
2019-01-21T08:00:00Z,188,27.3,1
2019-01-21T09:00:00Z,118,26.7,1
2019-01-21T10:00:00Z,25,26.4,1
2019-01-21T11:00:00Z,0,26.4,1
2019-01-21T12:00:00Z,0,26.4,1
2019-01-21T13:00:00Z,0,26.1,1
2019-01-21T14:00:00Z,0,25.4,1
2019-01-21T15:00:00Z,0,24.8,1
2019-01-21T16:00:00Z,0,24.4,1
2019-01-21T17:00:00Z,0,24.1,1
2019-01-21T18:00:00Z,0,23.8,1
2019-01-21T19:00:00Z,0,23.6,1
2019-01-21T20:00:00Z,0,23.4,1
2019-01-21T21:00:00Z,0,23.2,1
2019-01-21T22:00:00Z,0,23.4,1
2019-01-21T23:00:00Z,12,24.1,1
2019-01-22T00:00:00Z,104,24.8,1
2019-01-22T01:00:00Z,135,25.5,1
2019-01-22T02:00:00Z,139,26.1,1
2019-01-22T03:00:00Z,308,26.8,1
2019-01-22T04:00:00Z,321,27.1,1
2019-01-22T05:00:00Z,374,27,1
2019-01-22T06:00:00Z,263,26.8,1
2019-01-22T07:00:00Z,126,26.6,1
2019-01-22T08:00:00Z,97,26.2,1
2019-01-22T09:00:00Z,76,25.8,1
2019-01-22T10:00:00Z,28,25.7,1
2019-01-22T11:00:00Z,0,25.9,1
2019-01-22T12:00:00Z,0,26,1
2019-01-22T13:00:00Z,0,25.7,1
2019-01-22T14:00:00Z,0,24.9,1
2019-01-22T15:00:00Z,0,24,1
2019-01-22T16:00:00Z,0,23.6,1
2019-01-22T17:00:00Z,0,23.4,1
2019-01-22T18:00:00Z,0,23.3,1
2019-01-22T19:00:00Z,0,23.1,1
2019-01-22T20:00:00Z,0,23,1
2019-01-22T21:00:00Z,0,22.9,1
2019-01-22T22:00:00Z,0,23.2,1
2019-01-22T23:00:00Z,16,23.9,1
2019-01-23T00:00:00Z,111,24.7,1
2019-01-23T01:00:00Z,212,25.3,1
2019-01-23T02:00:00Z,315,25.9,2
2019-01-23T03:00:00Z,355,26.6,2
2019-01-23T04:00:00Z,412,27,2
2019-01-23T05:00:00Z,417,27.3,2
2019-01-23T06:00:00Z,298,27.7,2
2019-01-23T07:00:00Z,256,27.5,2
2019-01-23T08:00:00Z,117,26.8,2
2019-01-23T09:00:00Z,87,26.1,2
2019-01-23T10:00:00Z,29,25.6,2
2019-01-23T11:00:00Z,0,25.3,2
2019-01-23T12:00:00Z,0,25.1,2
