timestamp,dhi,timeofday,dayofweek,temp,cloud
datetime,int,int,int,int,int
T,,,,,
2019-01-21T02:00:00Z,306,0,1,26.5,25
2019-01-21T03:00:00Z,362,60,1,27.4,22.4
2019-01-21T04:00:00Z,438,120,1,27.8,32.7
2019-01-21T05:00:00Z,423,180,1,28,43.9
2019-01-21T06:00:00Z,405,240,1,28.1,41.9
2019-01-21T07:00:00Z,335,300,1,27.8,39.5
2019-01-21T08:00:00Z,188,360,1,27.3,23.2
2019-01-21T09:00:00Z,118,420,1,26.7,15.7
2019-01-21T10:00:00Z,25,480,1,26.4,48.3
2019-01-21T11:00:00Z,0,540,1,26.4,58.9
2019-01-21T12:00:00Z,0,600,1,26.4,56
2019-01-21T13:00:00Z,0,660,1,26.1,66.9
2019-01-21T14:00:00Z,0,720,1,25.4,67
2019-01-21T15:00:00Z,0,780,1,24.8,63.8
2019-01-21T16:00:00Z,0,840,1,24.4,52.5
2019-01-21T17:00:00Z,0,900,1,24.1,52.7
2019-01-21T18:00:00Z,0,960,1,23.8,50.7
2019-01-21T19:00:00Z,0,1020,1,23.6,32.7
2019-01-21T20:00:00Z,0,1080,1,23.4,32.3
2019-01-21T21:00:00Z,0,1140,1,23.2,52
2019-01-21T22:00:00Z,0,1200,1,23.4,53.1
2019-01-21T23:00:00Z,12,1260,1,24.1,60.6
2019-01-22T00:00:00Z,104,0,1,24.8,28.2
2019-01-22T01:00:00Z,135,60,1,25.5,5.9
2019-01-22T02:00:00Z,139,120,1,26.1,1.6
2019-01-22T03:00:00Z,308,180,1,26.8,26.4
2019-01-22T04:00:00Z,321,240,1,27.1,18.1
2019-01-22T05:00:00Z,374,300,1,27,23.2
2019-01-22T06:00:00Z,263,360,1,26.8,13
2019-01-22T07:00:00Z,126,420,1,26.6,2
2019-01-22T08:00:00Z,97,480,1,26.2,0.4
2019-01-22T09:00:00Z,76,540,1,25.8,1.7
2019-01-22T10:00:00Z,28,600,1,25.7,11.4
2019-01-22T11:00:00Z,0,660,1,25.9,1.4
2019-01-22T12:00:00Z,0,720,1,26,0
2019-01-22T13:00:00Z,0,780,1,25.7,0
2019-01-22T14:00:00Z,0,840,1,24.9,0
2019-01-22T15:00:00Z,0,900,1,24,0
2019-01-22T16:00:00Z,0,960,1,23.6,0
2019-01-22T17:00:00Z,0,1020,1,23.4,0
2019-01-22T18:00:00Z,0,1080,1,23.3,0
2019-01-22T19:00:00Z,0,1140,1,23.1,0
2019-01-22T20:00:00Z,0,1200,1,23,0
2019-01-22T21:00:00Z,0,1260,1,22.9,0
2019-01-22T22:00:00Z,0,0,1,23.2,0
2019-01-22T23:00:00Z,16,60,1,23.9,10.4
2019-01-23T00:00:00Z,111,120,1,24.7,20.4
2019-01-23T01:00:00Z,212,180,1,25.3,28
2019-01-23T02:00:00Z,315,240,2,25.9,32
2019-01-23T03:00:00Z,355,300,2,26.6,24.1
2019-01-23T04:00:00Z,412,360,2,27,26.1
2019-01-23T05:00:00Z,417,420,2,27.3,28
2019-01-23T06:00:00Z,298,480,2,27.7,15.2
2019-01-23T07:00:00Z,256,540,2,27.5,16.2
2019-01-23T08:00:00Z,117,600,2,26.8,2.7
2019-01-23T09:00:00Z,87,660,2,26.1,5.1
2019-01-23T10:00:00Z,29,720,2,25.6,6.4
2019-01-23T11:00:00Z,0,780,2,25.3,0
2019-01-23T12:00:00Z,0,840,2,25.1,0
2019-01-23T13:00:00Z,0,900,2,24.7,0
2019-01-23T14:00:00Z,0,960,2,24.2,0
2019-01-23T15:00:00Z,0,1020,2,23.7,0
2019-01-23T16:00:00Z,0,1080,2,23.4,0
2019-01-23T17:00:00Z,0,1140,2,23.2,0
2019-01-23T18:00:00Z,0,1200,2,23.1,0
2019-01-23T19:00:00Z,0,1260,2,22.9,0
2019-01-23T20:00:00Z,0,0,2,22.8,0
2019-01-23T21:00:00Z,0,60,2,22.8,1.3
2019-01-23T22:00:00Z,0,120,2,23.1,38.3
2019-01-23T23:00:00Z,12,180,2,24,59.5
2019-01-24T00:00:00Z,110,240,2,24.8,21.3
2019-01-24T01:00:00Z,165,300,2,25.4,9.9
2019-01-24T02:00:00Z,291,360,2,25.9,28.9
2019-01-24T03:00:00Z,373,420,2,26.4,25.5
2019-01-24T04:00:00Z,375,480,2,26.7,19.7
2019-01-24T05:00:00Z,367,540,2,26.8,21.2
2019-01-24T06:00:00Z,327,600,2,26.9,52.8
2019-01-24T07:00:00Z,271,660,2,26.7,58
2019-01-24T08:00:00Z,225,720,2,26.2,46.7
2019-01-24T09:00:00Z,120,780,2,25.7,47.8
2019-01-24T10:00:00Z,22,840,2,25.6,29.4
2019-01-24T11:00:00Z,0,900,2,25.8,0
2019-01-24T12:00:00Z,0,960,2,26,0
2019-01-24T13:00:00Z,0,1020,2,25.7,0
2019-01-24T14:00:00Z,0,1080,2,25,0
2019-01-24T15:00:00Z,0,1140,2,24.3,0
2019-01-24T16:00:00Z,0,1200,2,23.9,0
2019-01-24T17:00:00Z,0,1260,2,23.7,0
2019-01-24T18:00:00Z,0,0,2,23.6,0
2019-01-24T19:00:00Z,0,60,2,23.5,0
2019-01-24T20:00:00Z,0,120,2,23.3,0
2019-01-24T21:00:00Z,0,180,2,23.2,1.2
2019-01-24T22:00:00Z,0,240,2,23.5,33.8
2019-01-24T23:00:00Z,12,300,2,24.3,37.8
2019-01-25T00:00:00Z,105,360,2,25.1,24
2019-01-25T01:00:00Z,209,420,2,25.7,44.5
